Week,Day,Date,Time,Boxscore,Outcome,OT,Rec,Home/Away,Opp,Tm,OppPts,1stD,TotYd,PassY,RushY,TO_lost,Opp1stD,OppTotYd,OppPassY,OppRushY,TO_won,Offense,Defense,Sp. Tms
1,Fri,September 5,8:00PM ET,boxscore,W,,1-0,,Kansas City Chiefs,27,21,22,394,304,90,,18,347,249,98,,11.87,-8.20,-1.45
2,Mon,September 15,10:00PM ET,boxscore,W,,2-0,@,Las Vegas Raiders,20,9,15,317,236,81,1,15,218,150,68,3,0.98,16.29,-2.92
3,Sun,September 21,4:05PM ET,boxscore,W,,3-0,,Denver Broncos,23,20,29,376,270,106,2,9,265,147,118,,8.72,2.59,-7.85
4,Sun,September 28,1:00PM ET,boxscore,L,,3-1,@,New York Giants,18,21,17,338,186,152,2,20,250,89,161,,-7.74,1.89,2.05
5,Sun,October 5,4:25PM ET,boxscore,L,,3-2,,Washington Commanders,10,27,18,336,181,155,2,22,389,226,163,1,-5.18,-16.40,6.97
6,Sun,October 12,1:00PM ET,boxscore,W,,4-2,@,Miami Dolphins,29,27,20,403,263,140,1,19,341,204,137,3,6.37,-11.35,2.67
7,Sun,October 19,4:05PM ET,boxscore,L,,4-3,,Indianapolis Colts,24,38,25,445,391,54,2,24,401,281,120,,15.87,-26.79,-2.28
8,Thu,October 23,8:15PM ET,boxscore,W,,5-3,,Minnesota Vikings,37,10,29,419,212,207,1,12,164,130,34,1,22.71,10.79,-10.42
9,Sun,November 2,1:00PM ET,boxscore,W,,6-3,@,Tennessee Titans,27,20,21,343,212,131,1,10,206,118,88,,6.32,11.50,-6.89
10,Sun,November 9,8:20PM ET,boxscore,W,,7-3,,Pittsburgh Steelers,25,10,18,314,199,115,,11,221,148,73,3,-1.89,15.16,4.62
11,Sun,November 16,1:00PM ET,boxscore,L,,7-4,@,Jacksonville Jaguars,6,35,8,135,93,42,1,30,345,153,192,1,-20.13,-18.53,6.82
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,November 30,4:25PM ET,boxscore,W,,8-4,,Las Vegas Raiders,31,14,22,341,149,192,1,12,156,125,31,1,12.98,8.10,-2.00
14,Mon,December 8,8:15PM ET,boxscore,W,OT,9-4,,Philadelphia Eagles,22,19,16,275,106,169,3,19,365,231,134,5,-14.69,12.46,3.83
15,Sun,December 14,1:00PM ET,boxscore,W,,10-4,@,Kansas City Chiefs,16,13,18,295,201,94,1,17,239,190,49,2,-0.24,3.41,-2.09
16,Sun,December 21,1:00PM ET,preview,,,,@,Dallas Cowboys,,,,,,,,,,,,,,,
17,Sat,December 27,4:30PM ET,preview,,,,,Houston Texans,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Denver Broncos,,,,,,,,,,,,,,,
